"EVENT_DATE","ADMIN1","EVENT_TYPE"
"10-2021","Est","Battles"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Battles"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Est","Strategic developments"
"10-2021","Nord","Battles"
"10-2021","Sahel","Strategic developments"
"10-2021","Sahel","Strategic developments"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Battles"
"10-2021","Cascades","Battles"
"10-2021","Centre-Est","Violence against civilians"
"10-2021","Boucle du Mouhoun","Strategic developments"
"10-2021","Hauts-Bassins","Protests"
"10-2021","Boucle du Mouhoun","Strategic developments"
"10-2021","Boucle du Mouhoun","Strategic developments"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Centre-Nord","Battles"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Strategic developments"
"10-2021","Nord","Strategic developments"
"10-2021","Cascades","Battles"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Est","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Cascades","Battles"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Cascades","Violence against civilians"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Strategic developments"
"10-2021","Sahel","Strategic developments"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Boucle du Mouhoun","Strategic developments"
"10-2021","Nord","Battles"
"10-2021","Cascades","Strategic developments"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Sahel","Battles"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Centre-Nord","Explosions/Remote violence"
"10-2021","Centre-Nord","Explosions/Remote violence"
"10-2021","Est","Violence against civilians"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Nord","Strategic developments"
"10-2021","Est","Violence against civilians"
"10-2021","Cascades","Violence against civilians"
"10-2021","Sahel","Strategic developments"
"10-2021","Sahel","Strategic developments"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Nord","Violence against civilians"
"10-2021","Cascades","Strategic developments"
"10-2021","Sahel","Strategic developments"
"10-2021","Nord","Violence against civilians"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Cascades","Violence against civilians"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Sahel","Strategic developments"
"10-2021","Est","Violence against civilians"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Strategic developments"
"10-2021","Sahel","Battles"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Sahel","Battles"
"10-2021","Nord","Violence against civilians"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Centre-Nord","Battles"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Est","Strategic developments"
"10-2021","Nord","Battles"
"10-2021","Nord","Battles"
"10-2021","Nord","Violence against civilians"
"10-2021","Nord","Strategic developments"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Est","Strategic developments"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Nord","Strategic developments"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Est","Protests"
"10-2021","Est","Strategic developments"
"10-2021","Centre-Nord","Violence against civilians"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Sahel","Strategic developments"
"10-2021","Cascades","Strategic developments"
"10-2021","Boucle du Mouhoun","Explosions/Remote violence"
"10-2021","Boucle du Mouhoun","Explosions/Remote violence"
"10-2021","Est","Violence against civilians"
"10-2021","Boucle du Mouhoun","Battles"
"10-2021","Est","Violence against civilians"
"10-2021","Centre","Protests"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Centre-Nord","Violence against civilians"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Cascades","Battles"
"10-2021","Est","Strategic developments"
"10-2021","Boucle du Mouhoun","Battles"
"10-2021","Centre-Nord","Strategic developments"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Boucle du Mouhoun","Battles"
"10-2021","Sahel","Violence against civilians"
"10-2021","Boucle du Mouhoun","Explosions/Remote violence"
"10-2021","Boucle du Mouhoun","Explosions/Remote violence"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Est","Strategic developments"
"10-2021","Sahel","Battles"
"10-2021","Sahel","Violence against civilians"
"10-2021","Nord","Battles"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Cascades","Battles"
"10-2021","Nord","Battles"
"10-2021","Sahel","Violence against civilians"
"10-2021","Est","Violence against civilians"
"10-2021","Est","Explosions/Remote violence"
"10-2021","Cascades","Explosions/Remote violence"
"10-2021","Centre-Nord","Violence against civilians"
"10-2021","Sahel","Explosions/Remote violence"
"10-2021","Boucle du Mouhoun","Violence against civilians"
"10-2021","Hauts-Bassins","Protests"
"10-2021","Sahel","Strategic developments"
"10-2021","Est","Violence against civilians"
"10-2021","Sahel","Battles"
"10-2021","Boucle du Mouhoun","Battles"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Sahel","Violence against civilians"
"10-2021","Nord","Violence against civilians"
"10-2021","Nord","Explosions/Remote violence"
"10-2021","Nord","Strategic developments"
"10-2021","Sahel","Violence against civilians"
"11-2021","Sahel","Violence against civilians"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sahel","Violence against civilians"
"11-2021","Sahel","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Nord","Strategic developments"
"11-2021","Est","Battles"
"11-2021","Sahel","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Nord","Explosions/Remote violence"
"11-2021","Nord","Explosions/Remote violence"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Hauts-Bassins","Battles"
"11-2021","Sahel","Violence against civilians"
"11-2021","Nord","Violence against civilians"
"11-2021","Est","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Est","Battles"
"11-2021","Est","Riots"
"11-2021","Est","Strategic developments"
"11-2021","Sahel","Violence against civilians"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Est","Battles"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Est","Strategic developments"
"11-2021","Est","Violence against civilians"
"11-2021","Sahel","Strategic developments"
"11-2021","Centre-Nord","Battles"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Nord","Battles"
"11-2021","Sahel","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Centre-Nord","Protests"
"11-2021","Est","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Est","Violence against civilians"
"11-2021","Sahel","Violence against civilians"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Cascades","Violence against civilians"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Sahel","Violence against civilians"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Est","Protests"
"11-2021","Sahel","Battles"
"11-2021","Est","Violence against civilians"
"11-2021","Centre-Nord","Battles"
"11-2021","Est","Violence against civilians"
"11-2021","Centre-Nord","Battles"
"11-2021","Centre-Nord","Battles"
"11-2021","Est","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Centre-Nord","Explosions/Remote violence"
"11-2021","Sahel","Violence against civilians"
"11-2021","Centre-Ouest","Protests"
"11-2021","Sahel","Battles"
"11-2021","Centre-Nord","Explosions/Remote violence"
"11-2021","Cascades","Strategic developments"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Nord","Violence against civilians"
"11-2021","Sahel","Battles"
"11-2021","Sahel","Battles"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Cascades","Battles"
"11-2021","Est","Strategic developments"
"11-2021","Hauts-Bassins","Strategic developments"
"11-2021","Nord","Protests"
"11-2021","Centre-Nord","Explosions/Remote violence"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Boucle du Mouhoun","Battles"
"11-2021","Hauts-Bassins","Strategic developments"
"11-2021","Centre","Protests"
"11-2021","Sahel","Protests"
"11-2021","Centre-Nord","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Centre-Nord","Protests"
"11-2021","Nord","Strategic developments"
"11-2021","Nord","Strategic developments"
"11-2021","Nord","Strategic developments"
"11-2021","Hauts-Bassins","Protests"
"11-2021","Sud-Ouest","Strategic developments"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Nord","Strategic developments"
"11-2021","Centre-Nord","Protests"
"11-2021","Centre","Protests"
"11-2021","Centre-Nord","Battles"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Est","Strategic developments"
"11-2021","Nord","Strategic developments"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Est","Battles"
"11-2021","Nord","Protests"
"11-2021","Nord","Protests"
"11-2021","Sahel","Battles"
"11-2021","Centre-Nord","Riots"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Nord","Violence against civilians"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Centre-Nord","Riots"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Sahel","Violence against civilians"
"11-2021","Est","Riots"
"11-2021","Centre-Nord","Battles"
"11-2021","Centre-Nord","Riots"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Cascades","Battles"
"11-2021","Cascades","Battles"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Est","Violence against civilians"
"11-2021","Sahel","Battles"
"11-2021","Centre","Protests"
"11-2021","Boucle du Mouhoun","Battles"
"11-2021","Boucle du Mouhoun","Protests"
"11-2021","Centre-Nord","Riots"
"11-2021","Centre-Nord","Explosions/Remote violence"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Sahel","Strategic developments"
"11-2021","Est","Strategic developments"
"11-2021","Est","Violence against civilians"
"11-2021","Boucle du Mouhoun","Protests"
"11-2021","Plateau-Central","Protests"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Sud-Ouest","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Nord","Battles"
"11-2021","Centre-Ouest","Protests"
"11-2021","Cascades","Explosions/Remote violence"
"11-2021","Est","Violence against civilians"
"11-2021","Sahel","Explosions/Remote violence"
"11-2021","Sud-Ouest","Battles"
"11-2021","Cascades","Battles"
"11-2021","Sud-Ouest","Battles"
"11-2021","Sahel","Protests"
"11-2021","Est","Battles"
"11-2021","Centre-Nord","Protests"
"11-2021","Sahel","Protests"
"11-2021","Nord","Protests"
"11-2021","Centre","Protests"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Sahel","Battles"
"11-2021","Sahel","Battles"
"11-2021","Est","Battles"
"11-2021","Centre-Nord","Violence against civilians"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Nord","Battles"
"11-2021","Sahel","Violence against civilians"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Est","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Sahel","Battles"
"11-2021","Cascades","Protests"
"11-2021","Hauts-Bassins","Riots"
"11-2021","Centre-Nord","Violence against civilians"
"11-2021","Sahel","Protests"
"11-2021","Centre-Nord","Protests"
"11-2021","Centre-Ouest","Riots"
"11-2021","Cascades","Violence against civilians"
"11-2021","Centre","Riots"
"11-2021","Nord","Protests"
"11-2021","Est","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Sahel","Strategic developments"
"11-2021","Est","Violence against civilians"
"11-2021","Est","Strategic developments"
"11-2021","Est","Protests"
"11-2021","Boucle du Mouhoun","Violence against civilians"
"11-2021","Cascades","Explosions/Remote violence"
"11-2021","Nord","Battles"
"11-2021","Nord","Explosions/Remote violence"
"11-2021","Nord","Explosions/Remote violence"
"11-2021","Sahel","Violence against civilians"
"11-2021","Est","Explosions/Remote violence"
"11-2021","Centre-Nord","Strategic developments"
"11-2021","Est","Strategic developments"
"11-2021","Est","Strategic developments"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Est","Strategic developments"
"11-2021","Sahel","Strategic developments"
"11-2021","Sahel","Strategic developments"
"11-2021","Nord","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Strategic developments"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Boucle du Mouhoun","Explosions/Remote violence"
"11-2021","Centre-Nord","Battles"
"12-2021","Centre-Est","Explosions/Remote violence"
"12-2021","Est","Battles"
"12-2021","Nord","Protests"
"12-2021","Nord","Battles"
"12-2021","Centre-Nord","Strategic developments"
"12-2021","Cascades","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Battles"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Sahel","Battles"
"12-2021","Cascades","Strategic developments"
"12-2021","Est","Battles"
"12-2021","Est","Violence against civilians"
"12-2021","Sahel","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Est","Strategic developments"
"12-2021","Centre-Est","Violence against civilians"
"12-2021","Centre-Est","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Strategic developments"
"12-2021","Sahel","Battles"
"12-2021","Nord","Violence against civilians"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Nord","Strategic developments"
"12-2021","Est","Strategic developments"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Centre","Protests"
"12-2021","Nord","Strategic developments"
"12-2021","Sud-Ouest","Strategic developments"
"12-2021","Est","Battles"
"12-2021","Sahel","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Violence against civilians"
"12-2021","Boucle du Mouhoun","Violence against civilians"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Boucle du Mouhoun","Violence against civilians"
"12-2021","Boucle du Mouhoun","Battles"
"12-2021","Est","Violence against civilians"
"12-2021","Centre-Nord","Riots"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Est","Strategic developments"
"12-2021","Centre-Nord","Riots"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Est","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Centre-Nord","Riots"
"12-2021","Centre","Protests"
"12-2021","Est","Strategic developments"
"12-2021","Est","Strategic developments"
"12-2021","Sahel","Violence against civilians"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Est","Battles"
"12-2021","Nord","Battles"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Centre-Nord","Battles"
"12-2021","Sahel","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Centre-Nord","Battles"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Nord","Strategic developments"
"12-2021","Nord","Strategic developments"
"12-2021","Nord","Strategic developments"
"12-2021","Centre-Est","Violence against civilians"
"12-2021","Nord","Strategic developments"
"12-2021","Nord","Strategic developments"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Boucle du Mouhoun","Violence against civilians"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Centre","Protests"
"12-2021","Est","Strategic developments"
"12-2021","Centre-Nord","Battles"
"12-2021","Centre-Nord","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Centre-Nord","Strategic developments"
"12-2021","Nord","Violence against civilians"
"12-2021","Centre-Ouest","Protests"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Est","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Est","Violence against civilians"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Battles"
"12-2021","Est","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Battles"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Sahel","Battles"
"12-2021","Est","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Violence against civilians"
"12-2021","Est","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Est","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Nord","Battles"
"12-2021","Sahel","Battles"
"12-2021","Centre-Nord","Explosions/Remote violence"
"12-2021","Nord","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Centre-Nord","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Violence against civilians"
"12-2021","Sud-Ouest","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Sahel","Violence against civilians"
"12-2021","Est","Strategic developments"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Est","Strategic developments"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sud-Ouest","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Battles"
"12-2021","Centre-Nord","Protests"
"12-2021","Sahel","Violence against civilians"
"12-2021","Centre-Nord","Strategic developments"
"12-2021","Nord","Violence against civilians"
"12-2021","Nord","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Strategic developments"
"12-2021","Sahel","Battles"
"12-2021","Sud-Ouest","Violence against civilians"
"12-2021","Sud-Ouest","Riots"
"12-2021","Cascades","Violence against civilians"
"12-2021","Nord","Strategic developments"
"12-2021","Nord","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Centre-Nord","Explosions/Remote violence"
"12-2021","Centre-Nord","Battles"
"12-2021","Est","Strategic developments"
"12-2021","Centre-Nord","Battles"
"12-2021","Boucle du Mouhoun","Battles"
"12-2021","Nord","Battles"
"12-2021","Sahel","Violence against civilians"
"12-2021","Centre-Nord","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Cascades","Violence against civilians"
"12-2021","Centre-Est","Strategic developments"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Est","Battles"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Battles"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Sahel","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Nord","Violence against civilians"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Est","Violence against civilians"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Centre-Nord","Strategic developments"
"12-2021","Est","Violence against civilians"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Violence against civilians"
"12-2021","Boucle du Mouhoun","Explosions/Remote violence"
"12-2021","Est","Violence against civilians"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Centre-Est","Strategic developments"
"12-2021","Sahel","Violence against civilians"
"12-2021","Sud-Ouest","Violence against civilians"
"12-2021","Est","Battles"
"12-2021","Sahel","Protests"
"12-2021","Nord","Strategic developments"
"12-2021","Boucle du Mouhoun","Battles"
"12-2021","Est","Violence against civilians"
"12-2021","Est","Strategic developments"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Battles"
"12-2021","Sahel","Battles"
"12-2021","Centre-Est","Strategic developments"
"12-2021","Nord","Violence against civilians"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Boucle du Mouhoun","Strategic developments"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Nord","Explosions/Remote violence"
"12-2021","Sahel","Explosions/Remote violence"
"12-2021","Est","Strategic developments"
"01-2022","Centre-Nord","Explosions/Remote violence"
"01-2022","Boucle du Mouhoun","Battles"
"01-2022","Centre-Nord","Battles"
"01-2022","Nord","Strategic developments"
"01-2022","Boucle du Mouhoun","Explosions/Remote violence"
"01-2022","Centre-Nord","Explosions/Remote violence"
"01-2022","Centre-Nord","Explosions/Remote violence"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Boucle du Mouhoun","Explosions/Remote violence"
"01-2022","Boucle du Mouhoun","Explosions/Remote violence"
"01-2022","Centre-Nord","Explosions/Remote violence"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Sahel","Battles"
"01-2022","Centre-Nord","Violence against civilians"
"01-2022","Sahel","Battles"
"01-2022","Cascades","Battles"
"01-2022","Sahel","Battles"
"01-2022","Sahel","Battles"
"01-2022","Cascades","Battles"
"01-2022","Nord","Violence against civilians"
"01-2022","Sahel","Battles"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Sahel","Violence against civilians"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Est","Violence against civilians"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Sahel","Violence against civilians"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Sahel","Violence against civilians"
"01-2022","Est","Strategic developments"
"01-2022","Centre-Nord","Violence against civilians"
"01-2022","Centre-Nord","Battles"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Nord","Riots"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Boucle du Mouhoun","Strategic developments"
"01-2022","Sud-Ouest","Strategic developments"
"01-2022","Centre-Nord","Explosions/Remote violence"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Nord","Strategic developments"
"01-2022","Nord","Violence against civilians"
"01-2022","Est","Strategic developments"
"01-2022","Sahel","Violence against civilians"
"01-2022","Centre-Nord","Violence against civilians"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Est","Violence against civilians"
"01-2022","Est","Strategic developments"
"01-2022","Centre-Nord","Violence against civilians"
"01-2022","Est","Violence against civilians"
"01-2022","Sahel","Violence against civilians"
"01-2022","Nord","Violence against civilians"
"01-2022","Est","Explosions/Remote violence"
"01-2022","Cascades","Strategic developments"
"01-2022","Cascades","Battles"
"01-2022","Centre-Est","Strategic developments"
"01-2022","Centre","Strategic developments"
"01-2022","Boucle du Mouhoun","Battles"
"01-2022","Est","Strategic developments"
"01-2022","Centre-Nord","Violence against civilians"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Boucle du Mouhoun","Battles"
"01-2022","Sahel","Battles"
"01-2022","Sahel","Battles"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Est","Battles"
"01-2022","Centre-Est","Strategic developments"
"01-2022","Est","Violence against civilians"
"01-2022","Centre-Est","Battles"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Sahel","Explosions/Remote violence"
"01-2022","Est","Battles"
"01-2022","Est","Battles"
"01-2022","Est","Battles"
"01-2022","Est","Battles"
"01-2022","Sahel","Violence against civilians"
"01-2022","Sahel","Battles"
"01-2022","Sahel","Battles"
"01-2022","Cascades","Explosions/Remote violence"
"01-2022","Nord","Explosions/Remote violence"
"01-2022","Hauts-Bassins","Riots"
